,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
452,Jonas Valančiūnas,C,28,MEM,12,12,26.8,5.6,10.5,.532,0.3,1.2,.286,5.3,9.3,.563,.548,2.9,4.0,.729,2.7,7.8,10.4,1.8,0.8,1.0,2.3,3.7,14.4
453,Denzel Valentine,SG,27,CHI,9,0,18.3,2.7,6.1,.436,1.4,3.7,.394,1.2,2.4,.500,.555,0.2,0.2,1.000,0.2,4.0,4.2,1.8,1.1,0.1,0.7,0.9,7.0
454,Jarred Vanderbilt,PF,21,MIN,9,0,14.9,2.1,3.2,.655,0.0,0.0,,2.1,3.2,.655,.655,1.0,2.1,.474,1.3,3.8,5.1,1.3,1.1,0.4,0.7,1.7,5.2
455,Fred VanVleet,SG,26,TOR,12,12,35.8,7.3,17.4,.421,3.6,9.6,.374,3.8,7.8,.479,.524,1.8,2.2,.846,0.8,3.6,4.4,6.3,1.1,0.6,1.8,2.0,20.1
456,Devin Vassell,SG,20,SAS,12,0,16.6,1.7,4.4,.377,0.8,2.1,.360,0.9,2.3,.393,.462,0.8,0.8,1.000,0.6,2.8,3.4,1.1,1.3,0.3,0.3,1.1,4.8
457,Gabe Vincent,PG,24,MIA,4,3,25.5,4.8,13.0,.365,2.5,8.0,.313,2.3,5.0,.450,.462,2.0,2.5,.800,0.0,2.0,2.0,3.3,0.8,0.0,2.0,4.0,14.0
458,Nikola Vučević,C,30,ORL,13,13,31.4,9.2,18.0,.513,2.7,6.3,.427,6.5,11.7,.559,.588,1.7,2.2,.786,2.4,8.4,10.8,3.8,1.4,0.4,1.4,1.5,22.8
459,Dean Wade,PF,24,CLE,12,0,11.5,0.9,2.5,.367,0.6,1.7,.350,0.3,0.8,.400,.483,0.2,0.2,1.000,0.3,1.2,1.5,0.6,0.4,0.1,0.4,0.9,2.6
460,Moritz Wagner,C,23,WAS,5,0,13.6,2.2,3.4,.647,0.8,1.4,.571,1.4,2.0,.700,.765,1.2,1.6,.750,0.4,3.6,4.0,0.8,0.2,0.0,0.2,3.6,6.4
461,Kemba Walker,PG,30,BOS,1,1,20.0,3.0,13.0,.231,1.0,8.0,.125,2.0,5.0,.400,.269,2.0,3.0,.667,0.0,3.0,3.0,4.0,3.0,0.0,5.0,1.0,9.0
462,Lonnie Walker,SG,22,SAS,13,13,29.0,5.0,11.8,.425,1.9,4.8,.397,3.1,6.9,.444,.507,1.8,2.4,.774,0.4,2.7,3.1,1.7,0.5,0.6,0.9,2.1,13.8
463,John Wall,PG,30,HOU,7,7,33.9,7.0,15.4,.454,1.4,4.4,.323,5.6,11.0,.506,.500,3.1,3.7,.846,0.7,4.0,4.7,5.1,1.3,1.0,3.4,1.3,18.6
464,Brad Wanamaker,PG,31,GSW,12,0,15.8,1.3,3.9,.319,0.5,1.5,.333,0.8,2.4,.310,.383,1.6,1.8,.864,0.3,1.7,1.9,2.8,0.8,0.2,0.8,1.6,4.6
465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,T.J. Warren,SF,27,IND,4,4,29.3,6.8,12.8,.529,0.0,1.8,.000,6.8,11.0,.614,.529,2.0,2.5,.800,0.5,3.0,3.5,1.3,0.5,0.0,1.0,4.0,15.5
467,P.J. Washington,PF,22,CHO,14,14,28.9,4.5,10.6,.426,1.2,3.4,.362,3.3,7.2,.455,.483,2.7,3.7,.731,1.9,5.3,7.1,3.0,0.9,1.4,2.1,3.2,12.9
468,Yuta Watanabe,SF,26,TOR,7,0,11.0,0.7,2.6,.278,0.6,1.3,.444,0.1,1.3,.111,.389,0.0,0.0,,0.6,2.4,3.0,0.3,0.3,0.9,0.4,1.0,2.0
469,Tremont Waters,PG,23,BOS,5,1,9.8,0.8,2.6,.308,0.6,1.4,.429,0.2,1.2,.167,.423,0.8,0.8,1.000,0.2,0.4,0.6,2.8,0.6,0.0,1.8,0.8,3.0
470,Paul Watson,SF,26,TOR,3,0,2.7,0.3,0.7,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,0.0,0.0,,0.3,0.7,1.0,0.0,0.0,0.3,0.0,0.3,0.7
471,Russell Westbrook,PG,32,WAS,7,7,37.1,7.3,19.3,.378,1.4,4.7,.303,5.9,14.6,.402,.415,3.3,5.0,.657,1.0,8.7,9.7,11.3,1.3,0.3,5.3,3.3,19.3
472,Coby White,PG,20,CHI,13,13,34.8,5.9,14.5,.407,2.4,6.7,.356,3.5,7.8,.451,.489,2.1,2.5,.844,0.5,4.8,5.3,6.1,0.3,0.1,2.9,2.5,16.3
473,Derrick White,SG,26,SAS,1,0,23.0,3.0,9.0,.333,1.0,4.0,.250,2.0,5.0,.400,.389,2.0,2.0,1.000,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,9.0
